"astro-ph/0512553","Patricio S. Letelier","D. Vogt and P.S. Letelier","Comments on ""Perspectives on Galactic Dynamics via General Relativity""","5 pages, 1 figure",,,,"astro-ph gr-qc",,"  In this comment we question some arguments presented in astro-ph/0512048 to
refuse the presence of an singular mass surface layer. In particular, incorrect
expressions are used for the disk's surface mass density. We also point out
that the procedure of removing the descontinuity on the $z=0$ plane with a
region of continuous density gradient generates other two regions of
descontinuities with singular mass surface layers making the model unrealistic.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 18:40:32 GMT""}]","2007-05-23"
"hep-th/0512300","Semyon Konstein","S.E.Konstein and I.V.Tyutin","Cohomology of antiPoisson superalgebra","LaTeX, 37 pages",,"10.1007/s11232-005-0095-9",,"hep-th",,"  We consider antiPoisson superalgebras realized on the smooth Grassmann-valued
functions with compact supports in R^n and with the grading inverse to
Grassmanian parity. The lower cohomologies of these superalgebras are found.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 07:00:35 GMT""},{""version"":""v2"",""created"":""Sat, 24 Dec 2005 15:02:00 GMT""},{""version"":""v3"",""created"":""Mon, 10 Mar 2008 18:08:08 GMT""}]","2009-11-11"
"hep-th/0512301","Gabriele Veneziano","G. Veneziano and J. Wosiek","Planar Quantum Mechanics: an Intriguing Supersymmetric Example","14 pages, 3 .eps figures (1 figure, 2 acknowledgements added, typos
  corrected)","JHEP 0601:156,2006","10.1088/1126-6708/2006/01/156","CERN-PH-TH/2005-269, TPJU-9/2005","hep-th",,"  After setting up a Hamiltonian formulation of planar (matrix) quantum
mechanics, we illustrate its effectiveness in a non-trivial supersymmetric
example. The numerical and analytical study of two sectors of the model, as a
function of 't Hooft's coupling $\lambda$, reveals both a phase transition at
$\lambda=1$ (disappearence of the mass gap and discontinuous jump in Witten's
index) and a new form of strong-weak duality for $\lambda \to 1/\lambda$.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 11:39:51 GMT""},{""version"":""v2"",""created"":""Wed, 28 Dec 2005 15:49:41 GMT""}]","2011-07-28"
"hep-th/0512302","Konstantinos Zoubos","Manuela Kulaxizi and Konstantinos Zoubos","Marginal Deformations of Tree-Level N=4 SYM from Twistor String Theory","7 pages. Talk by K. Z. at the RTN conference ""Constituents,
  Fundamental Forces and Symmetries of the Universe"", Corfu, Greece, Sept.
  20-26, 2005. Contribution to the proceedings","Fortsch.Phys. 54 (2006) 423-429","10.1002/prop.200510299","QMUL-PH-05-20","hep-th",,"  The topological B-model with target the supertwistor space CP(3|4) is known
to describe perturbative amplitudes of N=4 Super Yang-Mills theory. We review
the extension of this correspondence to the superconformal gauge theories that
arise as marginal deformations of N=4 by considering the effects of turning on
a certain closed string background, which results in non-anticommutativity in
the fermionic directions of CP(3|4). We generalise the twistor string
prescription for amplitudes to this case and illustrate it with some simple
examples.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 15:28:48 GMT""}]","2009-11-11"
"math-ph/0512076","Viacheslav Belavkin","V. P. Belavkin","A Quantum Nonadapted Ito Formula and Stochastic Analysis in Fock scale","28 pages. See also related papers at
  http://www.maths.nott.ac.uk/personal/vpb/research/ana_cal.html and
  http://www.maths.nott.ac.uk/personal/vpb/research/cha_noi.html","Journal of Functional Analysis 102 (1991) No 2, 414--447",,,"math-ph math.MP",,"  A generalized definition of quantum stochastic (QS) integrals and
differentials is given in the free of adaptiveness and basis form in terms of
Malliavin derivative on a projective Fock scale, and their uniform continuity
and QS differentiability with respect to the inductive limit convergence is
proved. A new form of QS calculus based on an inductive *-algebraic structure
in an indefinite space is developed and a nonadaptive generalization of the QS
Ito formula for its representation in Fock space is derived. The problem of
solution of general QS evolution equations in a Hilbert space is solved in
terms of the constructed operator representation of chronological products,
defined in the indefinite space, and the unitary and *-homomorphism property
respectively for operators and maps of these solutions, corresponding to the
pseudounitary and *-homomorphism property of the QS integrable generators, is
proved.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 16:26:32 GMT""}]","2007-05-23"
"math-ph/0512079","Richard L. Hall","Richard L. Hall","Exact solutions for semirelativistic problems with non-local potentials","13 pages, 3 figures","J. Phys. A 39, 903 - 912 (2006)","10.1088/0305-4470/39/4/011","CUQM-112","math-ph math.MP",,"  It is shown that exact solutions may be found for the energy eigenvalue
problem generated by the class of semirelativistic Hamiltonians of the form H =
sqrt{m^2+p^2} + hat{V}, where hat{V} is a non-local potential with a separable
kernel of the form V(r,r') = - sum_{i=1}^n v_i f_i(r)g_i(r'). Explicit examples
in one and three dimensions are discussed, including the Yamaguchi and Gauss
potentials. The results are used to obtain lower bounds for the energy of the
corresponding N-boson problem, with upper bounds provided by the use of a
Gaussian trial function.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 16:46:19 GMT""}]","2009-11-11"
"math-ph/0512080","Eric Schippers","David Radnell, Eric Schippers","A complex structure on the moduli space of rigged Riemann surfaces",,,,,"math-ph math.MP",,"  The study of Riemann surfaces with parametrized boundary components was
initiated in conformal field theory (CFT). Motivated by general principles from
Teichmueller theory, and applications to the construction of CFT from vertex
operator algebras, we generalize the parametrizations to quasisymmetric maps.
For a precise mathematical definition of CFT (in the sense of G. Segal), it is
necessary that the moduli space of these Riemann surfaces be a complex
manifold, and the sewing operation be holomorphic. We report on the recent
proofs of these results by the authors.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 18:06:02 GMT""}]","2007-05-23"
"math-ph/0512081","Olaf Post","Olaf Post","Spectral convergence of non-compact quasi-one-dimensional spaces","some references added, still 36 pages, 4 figures",,"10.1007/s00023-006-0272-x",,"math-ph math.MP",,"  We consider a family of non-compact manifolds $X_\eps$ (``graph-like
manifolds'') approaching a metric graph $X_0$ and establish convergence results
of the related natural operators, namely the (Neumann) Laplacian $\laplacian
{X_\eps}$ and the generalised Neumann (Kirchhoff) Laplacian $\laplacian {X_0}$
on the metric graph. In particular, we show the norm convergence of the
resolvents, spectral projections and eigenfunctions. As a consequence, the
essential and the discrete spectrum converge as well. Neither the manifolds nor
the metric graph need to be compact, we only need some natural uniformity
assumptions. We provide examples of manifolds having spectral gaps in the
essential spectrum, discrete eigenvalues in the gaps or even manifolds
approaching a fractal spectrum. The convergence results will be given in a
completely abstract setting dealing with operators acting in different spaces,
applicable also in other geometric situations.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 18:30:00 GMT""},{""version"":""v2"",""created"":""Mon, 2 Jan 2006 16:39:46 GMT""}]","2009-11-11"
"math-ph/0512082","Vesselin Gueorguiev","V. G. Gueorguiev","Aspects of Diffeomorphism Invariant Theory of Extended Objects I: The
  Relativistic Particle and its d-brane Cousins","8 pages, no figures, revtex4 style, This is an expansion on a previos
  paper math-ph/0210021 by adding a new section on Classical Forces Beyond
  Electromagnetism and Gravity is added",,,,"math-ph math.MP",,"  General structure of classical reparametrization-invariant matter systems,
mainly the relativistic particle and its $d$-brane generalization, are studied.
The exposition is in close analogy with the relativistic particle in an
electromagnetic field as reparametrization-invariant system. The structure of a
diffeomorphism invariant Lagrangian action for an extended object ($d$-brane)
embedded in a bulk space M is discussed. Our construction uses first order
homogeneous Lagrangians to achieve general covariance in contrast to the
constructions that use scalar Lagrangians along with metric dependent
integration measure. The framework contains intrinsically the relativistic
point particle, string theory, and Dirac-Nambu-Goto Lagrangians. In a natural
way, the matter Lagrangian contains background interaction fields, such as a
1-form field, analogous to the electromagnetic vector potential, and a metric
tensor. The framework naturally suggests new classical interaction fields
beyond electromagnetism and gravity. Construction of aninteraction field
Lagrangian that is background free and consistent with the gauge symmetries
presented in the equations of motion for the matter is outlined.
  Keywords: diffeomorphism invariant systems, reparametrization-invariant
matter systems, matter Lagrangian, homogeneous singular Lagrangians,
relativistic particle, string theory, extended objects, d-branes, interaction
fields, classical forces beyond electromagnetism and gravity, generally
covariant theory, gauge symmetries, background free theories.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 22:42:36 GMT""}]","2007-05-23"
"math-ph/0512083","Nuno M. Rom\~ao","Paul Norbury, Nuno M. Rom\~ao","Spectral curves and the mass of hyperbolic monopoles","43 pages, LaTeX, 3 figures","Commun.Math.Phys.270:295-333,2007","10.1007/s00220-006-0148-4",,"math-ph hep-th math.MP",,"  The moduli spaces of hyperbolic monopoles are naturally fibred by the
monopole mass, and this leads to a nontrivial mass dependence of the
holomorphic data (spectral curves, rational maps, holomorphic spheres)
associated to hyperbolic multi-monopoles. In this paper, we obtain an explicit
description of this dependence for general hyperbolic monopoles of magnetic
charge two. In addition, we show how to compute the monopole mass of higher
charge spectral curves with tetrahedral and octahedral symmetries. Spectral
curves of euclidean monopoles are recovered from our results via an
infinite-mass limit.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 13:36:05 GMT""}]","2008-11-26"
"math-ph/0512084","Francisco Jose Herranz","Francisco J. Herranz and Angel Ballesteros","Superintegrability on Three-Dimensional Riemannian and Relativistic
  Spaces of Constant Curvature","Published in SIGMA (Symmetry, Integrability and Geometry: Methods and
  Applications) at http://www.emis.de/journals/SIGMA/","SIGMA 2 (2006), 010, 22 pages","10.3842/SIGMA.2006.010",,"math-ph math.MP nlin.SI",,"  A family of classical superintegrable Hamiltonians, depending on an arbitrary
radial function, which are defined on the 3D spherical, Euclidean and
hyperbolic spaces as well as on the (2+1)D anti-de Sitter, Minkowskian and de
Sitter spacetimes is constructed. Such systems admit three integrals of the
motion (besides the Hamiltonian) which are explicitly given in terms of ambient
and geodesic polar coordinates. The resulting expressions cover the six spaces
in a unified way as these are parametrized by two contraction parameters that
govern the curvature and the signature of the metric on each space. Next two
maximally superintegrable Hamiltonians are identified within the initial
superintegrable family by finding the remaining constant of the motion. The
former potential is the superposition of a (curved) central harmonic oscillator
with other three oscillators or centrifugal barriers (depending on each
specific space), so that this generalizes the Smorodinsky-Winternitz system.
The latter one is a superposition of the Kepler-Coulomb potential with another
two oscillators or centrifugal barriers. As a byproduct, the Laplace-Runge-Lenz
vector for these spaces is deduced. Furthermore both potentials are analysed in
detail for each particular space. Some comments on their generalization to
arbitrary dimension are also presented.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 15:04:09 GMT""},{""version"":""v2"",""created"":""Fri, 27 Jan 2006 10:14:56 GMT""}]","2008-04-24"
"math/0512528","H. Blaine Lawson Jr.","F. Reese Harvey and H. Blaine Lawson Jr","Lefschetz-Pontrjagin Duality for Differential Characters",,"Anais da Academia Brasileira de Ciencias, vol 73, no. 2 (2001),
  145-160",,,"math.DG math.AT",,"  A theory of differential characters is developed for manifolds with boundary.
This is done from both the Cheeger-Simons and the deRham-Federer viewpoints.
The central result of the paper is the formulation and proof of a
Lefschetz-Pontrjagin Duality Theorem, which asserts that the pairing:
Ch^k(X,dX) x Ch^{n-k-1}(X) --> S^1, given by (a,b) l-->(a*b)[X], induces
isomorphisms:
  D : Ch^k(X,dX) --> Hom^{smooth}(Ch^{n-k-1}(X), S^1)
  D': Ch^{n-k-1}(X) --> Hom^{smooth}(Ch^k(X, dX), S^1) onto the smooth
Pontrjagin duals. In particular, D and D' are injective with dense range in the
group of all continuous homomorphisms into the circle. A coboundary map is
introduced which yields a long sequence for the character groups associated to
the pair (X,dX). The relation of the sequence to the duality mappings is
analyzed.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 17:44:15 GMT""}]","2018-02-22"
