"astro-ph/0511774","Max Tegmark","Max Tegmark (MIT), Anthony Aguirre (UCSC), Martin J Rees (Cambridge),
  Frank Wilczek (MIT)","Dimensionless constants, cosmology and other dark matters","29 pages, 13 figs, minor mods to match published PRD version","Phys.Rev.D73:023505,2006","10.1103/PhysRevD.73.023505",,"astro-ph hep-ph hep-th",,"  We identify 31 dimensionless physical constants required by particle physics
and cosmology, and emphasize that both microphysical constraints and selection
effects might help elucidate their origin. Axion cosmology provides an
instructive example, in which these two kinds of arguments must both be taken
into account, and work well together. If a Peccei-Quinn phase transition
occurred before or during inflation, then the axion dark matter density will
vary from place to place with a probability distribution. By calculating the
net dark matter halo formation rate as a function of all four relevant
cosmological parameters and assessing other constraints, we find that this
probability distribution, computed at stable solar systems, is arguably peaked
near the observed dark matter density. If cosmologically relevant WIMP dark
matter is discovered, then one naturally expects comparable densities of WIMPs
and axions, making it important to follow up with precision measurements to
determine whether WIMPs account for all of the dark matter or merely part of
it.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 16:30:04 GMT""},{""version"":""v2"",""created"":""Thu, 8 Dec 2005 15:30:08 GMT""},{""version"":""v3"",""created"":""Wed, 11 Jan 2006 21:29:45 GMT""}]","2008-11-26"
"hep-th/0511300","Etsuko Itou","Kiyoshi Higashijima and Etsuko Itou","Wilsonian renormalization group approach to the lower dimensional
  nonlinear sigma models","To appear in the proceedings of 6th International Conference on
  Renormalization Group 2005 (RG2005), Helsinki, Finland 30 August - 3
  September 2005",,,,"hep-th",,"  In this paper, we study three dimensional NL$\sigma$Ms within two kind of
nonperturbative methods; WRG and large-N expansion. First, we investigate the
renormalizability of some NL$\sigma$Ms using WRG equation. We find that some
models have a nontrivial UV fixed point and are renormalizable within
nonperturbative method. Second, we study the phase structure of $CP^{N-1}$ and
$Q^{N-2}$ models using large-N expansion. These two models have two and three
phases respectively. At last, we construct the conformal field theories at the
fixed point of the nonperturbative WRG $\beta$ function.
  This is the review of recently works and is based on the talk of the
conference by EI.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 02:49:27 GMT""}]","2007-05-23"
"hep-th/0511301","Rong-Gen Cai","Rong-Gen Cai, Yungui Gong, Bin Wang","Super-acceleration on the Brane by Energy Flow from the Bulk","Revtex, 11 pages including 2 figures,v2: tpos fixed, references
  added, to appear in JCAP","JCAP0603:006,2006","10.1088/1475-7516/2006/03/006",,"hep-th astro-ph gr-qc",,"  We consider a brane cosmological model with energy exchange between brane and
bulk. Parameterizing the energy exchange term by the scale factor and Hubble
parameter, we are able to exactly solve the modified Friedmann equation on the
brane. In this model, the equation of state for the effective dark energy has a
transition behavior changing from $w_{de}^{eff}>-1$ to $w_{de}^{eff}<-1$, while
the equation of state for the dark energy on the brane has $w>-1$. Fitting data
from type Ia supernova, Sloan Digital Sky Survey and Wilkinson Microwave
Anisotropy Probe, our universe is predicted now in the state of
super-acceleration with $w_{de0}^{eff}=-1.21$.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 03:20:57 GMT""},{""version"":""v2"",""created"":""Thu, 23 Feb 2006 12:26:12 GMT""}]","2008-11-26"
"hep-th/0511302","Subir Ghosh","Subir Ghosh (Indian Statistical Institute)","A Novel ""Magnetic"" Field And Its Dual Non-Commutative Phase Space","8 pages LaTex, Matches journal version, PLB 638 (2006)350; One
  reference added and minor change in text, related to it",,"10.1016/j.physletb.2006.05.064",,"hep-th cond-mat.mes-hall quant-ph",,"  In this paper we have studied a new form of Non-Commutative (NC) phase space
with an operatorial form of noncommutativity. A point particle in this space
feels the effect of an interaction with an ""{\it{internal}}"" magnetic field,
that is singular at a specific position $\theta^{-1}$. By ""internal"" we mean
that the effective magnetic fields depends essentially on the particle
properties and modifies the symplectic structure. Here $\theta $ is the NC
parameter and induces the coupling between the particle and the ""internal""
magnetic field. The magnetic moment of the particle is computed. Interaction
with an {\it{external}} physical magnetic field reveals interesting features
induced by the inherent fuzziness of the NC phase space: introduction of
non-trivial structures into the charge and mass of the particle and possibility
of the particle dynamics collapsing to a Hall type of motion. The dynamics is
studied both from Lagrangian and symplectic (Hamiltonian) points of view. The
canonical (Darboux) variables are also identified. We briefly comment, that the
model presented here, can play interesting role in the context of (recently
observed) {\it{real}} space Berry curvature in material systems.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 10:28:29 GMT""},{""version"":""v2"",""created"":""Tue, 23 May 2006 10:23:53 GMT""},{""version"":""v3"",""created"":""Tue, 4 Jul 2006 17:26:15 GMT""},{""version"":""v4"",""created"":""Fri, 7 Jul 2006 13:26:21 GMT""}]","2009-11-11"
"hep-th/0511303","Nejat Yilmaz","N. T. Yilmaz","Non-Linear Realisation of the Pure N=4, D=5 Supergravity","12 pages","Phys.Rev.D72:105013,2005","10.1103/PhysRevD.72.105013",,"hep-th",,"  We perform the non-linear realisation or the coset formulation of the pure
N=4, D=5 supergravity. We derive the Lie superalgebra which parameterizes a
coset map whose induced Cartan-Maurer form produces the bosonic field equations
of the pure N=4, D=5 supergravity by canonically satisfying the Cartan-Maurer
equation. We also obtain the first-order field equations of the theory as a
twisted self-duality condition for the Cartan-Maurer form within the
geometrical framework of the coset construction.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 12:27:54 GMT""}]","2008-11-26"
"hep-th/0511304","Kluson Josef","J. Kluson","Note about Static D1-brane in I-brane Background","20 pages, reference added","JHEP0601:045,2006","10.1088/1126-6708/2006/01/045","ROM2F/2005/24","hep-th",,"  In this short note we will construct the static solutions on the world volume
of D1-brane embedded in I-brane background.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 13:10:27 GMT""},{""version"":""v2"",""created"":""Mon, 6 Feb 2006 08:46:52 GMT""}]","2009-11-11"
"hep-th/0511305","Eugen Radu","Yves Brihaye, Betti Hartmann and Eugen Radu","Global monopoles, cosmological constant and maximal mass conjecture","18 pages, 7 figures; v2: references added, typos corrected, extended
  discussion on mass computation","Phys.Rev.D74:025009,2006","10.1103/PhysRevD.74.025009",,"hep-th gr-qc",,"  We consider global monopoles as well as black holes with global monopole hair
in Einstein-Goldstone model with a cosmological constant in four spacetime
dimensions. Similar to the $\Lambda=0$ case, the mass of these solutions
defined in the standard way diverges. We use a boundary counterterm subtraction
method to compute the mass and action of $\Lambda \neq 0$ configurations. The
mass of the asymptotically de Sitter solutions computed in this way turns out
to take positive values in a specific parameter range and, for a relaxed set of
asymptotic boundary conditions, yields a counterexample to the maximal mass
conjecture.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 13:27:30 GMT""},{""version"":""v2"",""created"":""Fri, 16 Jun 2006 09:19:42 GMT""}]","2008-11-26"
"hep-th/0511306","Predrag Prester","Predrag Prester","Lovelock type gravity and small black holes in heterotic string theory","14 pages, JHEP style","JHEP0602:039,2006","10.1088/1126-6708/2006/02/039","AEI-2005-181","hep-th",,"  We analyze near horizon behavior of small D-dimensional 2-charge black holes
by modifying tree level effective action of heterotic string with all extended
Gauss-Bonnet densities. We show that there is a nontrivial and unique choice of
parameters, independent of D, for which the black hole entropy in any dimension
is given by 4\pi\sqrt{nw}, which is exactly the statistical entropy of 1/2-BPS
states of heterotic string compactified on T^{9-D}\times S^1 with momentum n
and winding w. This extends the results of Sen [JHEP 0507 (2005) 073] to all
dimensions. We also show that our Lovelock type action belongs to the more
general class of actions sharing the simmilar behaviour on the AdS_2\times
S^{D-2} near horizon geometry.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 15:43:10 GMT""}]","2009-11-11"
"math/0511711","Boris Kruglikov","Boris Kruglikov, Valentin Lychagin","Invariants of pseudogroup actions: Homological methods and Finiteness
  theorem","v2: some remarks and references addeed",,"10.1142/S0219887806001478",,"math.DG",,"  We study the equivalence problem of submanifolds with respect to a transitive
pseudogroup action. The corresponding differential invariants are determined
via formal theory and lead to the notions of k-variants and k-covariants, even
in the case of non-integrable pseudogroup. Their calculation is based on the
cohomological machinery: We introduce a complex for covariants, define their
cohomology and prove the finiteness theorem. This implies the well-known
Lie-Tresse theorem about differential invariants. We also generalize this
theorem to the case of pseudogroup action on differential equations.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 16:16:06 GMT""},{""version"":""v2"",""created"":""Wed, 7 Dec 2005 17:12:30 GMT""}]","2015-06-26"
"math/0511712","Nuss Philippe","Philippe Nuss, Marc Wambst","Non-Abelian Hopf Cohomology","19 pages",,,"preprint IRMA - 2005-11-24 - no 2005-021","math.KT math.RA",,"  We introduce non-abelian cohomology sets of Hopf algebras with coefficients
in Hopf modules. We prove that these sets generalize Serre's non-abelian group
cohomology theory. Using descent techniques, we establish that our construction
enables to classify as well twisted forms for modules over Hopf-Galois
extensions as torsors over Hopf-modules.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 16:20:41 GMT""},{""version"":""v2"",""created"":""Wed, 15 Mar 2006 16:11:35 GMT""}]","2007-05-23"
"math/0511713","Luis Felipe Tabera","Luis Felipe Tabera","Tropical Plane Geometric Constructions: a Transfer Technique in Tropical
  Geometry","46 Pages, 5 Figures V2. Major changes on the article, newer sections
  and results about geometric constructions and applications to prove theorems
  in tropical geometry",,,,"math.AG",,"  The notion of geometric construction is introduced. This notion allows to
compare incidence configurations in the algebraic and tropical plane. We
provide an algorithm such that, given a tropical instance of a geometric
construction, it computes sufficient conditions to have an algebraic
counterpart related by tropicalization. We also provide sufficient conditions
in a geometric construction to ensure that the algebraic counterpart always
exists. Geometric constructions are applied to transfer classical theorems to
the tropical framework, we provide a notion of incidence theorems and prove
several tropical versions of classical theorems like converse Pascal, Fano
plane or Cayley-Bacharach.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 17:25:20 GMT""},{""version"":""v2"",""created"":""Wed, 10 Oct 2007 09:41:01 GMT""}]","2007-10-10"
"math/0511714","Yves de Cornulier","Yves de Cornulier, Luc Guyot, Wolfgang Pitsch","On the isolated points in the space of groups","30 pages, no figure. v2: minor changes, published version from March
  2006","J. Algebra 307(1) (2007), 254-277","10.1016/j.jalgebra.2006.02.012",,"math.GR","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We investigate the isolated points in the space of finitely generated groups.
We give a workable characterization of isolated groups and study their
hereditary properties. Various examples of groups are shown to yield isolated
groups. We also discuss a connection between isolated groups and solvability of
the word problem.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 18:22:46 GMT""},{""version"":""v2"",""created"":""Wed, 10 Jun 2009 14:09:42 GMT""}]","2010-08-04"
"math/0511715","Jack Button","J. O. Button","Large mapping tori of free group endomorphisms","41 pages with no figures",,,,"math.GR",,"  We present an algorithm which, given any finite presentation of a group as
input, will terminate with answer yes if and only if the group is large. We use
this to prove that a mapping torus of a finitely generated free group
automorphism is large if it contains the integers times the integers as a
subgroup of infinite index. We then extend this result to mapping tori of
finitely generated free group endomorphisms, as well as showing that such a
group is large if it contains a Baumslag-Solitar group of infinite index and
has a finite index subgroup with first Betti number at least 2. We also show
that if a group possesses a deficiency 1 presentation where one of the relators
is a commutator then it is the integers times the integers, or it is large, or
it is as far as possible from being residually finite.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 18:50:21 GMT""}]","2007-05-23"
"math/0511716","Rosa Sena-Dias","R. Sena-Dias","Estimated transversality and rational maps","40 pages, submitted, typos corrected and minor expository changes",,,,"math.SG math.DG",,"  In this paper, we address a question of Donaldson's on the best estimate that
can be achieved for the transversality of an asymptotically holomorphic
sequence of sections of increasing powers of a line bundle over an integral
symplectic manifold. More specifically, we find an upper bound for the
transversality of n such sequences of sections over a 2n-dimensional symplectic
manifold. In the simplest case of S^2, we also relate the problem to a well
known question in potential theory (namely, that of finding logarithmic
equilibrium points), thus establishing an experimental lower bound for the
transversality.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 20:53:12 GMT""},{""version"":""v2"",""created"":""Mon, 30 Jan 2006 00:27:20 GMT""}]","2007-05-23"
"math/0511717","Franco Saliola","Franco V. Saliola","The Face Semigroup Algebra of a Hyperplane Arrangement","37 pages, LaTeX; Added section 8.3B; Changed the wording of a few
  paragraphs in the introduction and abstract. No major changes",,,,"math.RA math.CO",,"  This article presents a study of an algebra spanned by the faces of a
hyperplane arrangement. The quiver with relations of the algebra is computed
and the algebra is shown to be a Koszul algebra. It is shown that the algebra
depends only on the intersection lattice of the hyperplane arrangement. A
complete system of primitive orthogonal idempotents for the algebra is
constructed and other algebraic structure is determined including: a
description of the projective indecomposable modules; the Cartan invariants;
projective resolutions of the simple modules; the Hochschild homology and
cohomology; and the Koszul dual algebra. A new cohomology construction on
posets is introduced and it is shown that the face semigroup algebra is
isomorphic to the cohomology algebra when this construction is applied to the
intersection lattice of the hyperplane arrangement.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 22:07:13 GMT""},{""version"":""v2"",""created"":""Wed, 30 Aug 2006 16:48:57 GMT""}]","2007-05-23"
