"astro-ph/0511410","Kris Sigurdson","Nicole F. Bell (Caltech), Elena Pierpaoli (Caltech), and Kris
  Sigurdson (Caltech and IAS)","Cosmological Signatures of Interacting Neutrinos","17 pages, 14 figures, minor changes and references added, published
  in Phys. Rev. D","Phys.Rev. D73 (2006) 063523","10.1103/PhysRevD.73.063523","KRL-MAP-309","astro-ph hep-ph",,"  We investigate signatures of neutrino scattering in the Cosmic Microwave
Background (CMB) and matter power spectra, and the extent to which present
cosmological data can distinguish between a free streaming or tightly coupled
fluid of neutrinos. If neutrinos have strong non-standard interactions, for
example, through the coupling of neutrinos to a light boson, they may be kept
in equilibrium until late times. We show how the power spectra for these models
differ from more conventional neutrino scenarios, and use CMB and large scale
structure data to constrain these models. CMB polarization data improves the
constraints on the number of massless neutrinos, while the Lyman--$\alpha$
power spectrum improves the limits on the neutrino mass. Neutrino mass limits
depend strongly on whether some or all of the neutrino species interact and
annihilate. The present data can accommodate a number of tightly-coupled
relativistic degrees of freedom, and none of the interacting-neutrino scenarios
considered are ruled out by current data -- although considerations regarding
the age of the Universe disfavor a model with three annihilating neutrinos with
very large neutrino masses.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 19:32:21 GMT""},{""version"":""v2"",""created"":""Sat, 1 Apr 2006 01:01:51 GMT""}]","2007-05-23"
"hep-th/0511157","Mattias N. R. Wohlfarth","Frederic P. Schuller, Mattias N.R. Wohlfarth","Canonical differential geometry of string backgrounds","20 pages, no figures, improved journal version","JHEP0602:059,2006","10.1088/1126-6708/2006/02/059",,"hep-th gr-qc math.DG",,"  String backgrounds and D-branes do not possess the structure of Lorentzian
manifolds, but that of manifolds with area metric. Area metric geometry is a
true generalization of metric geometry, which in particular may accommodate a
B-field. While an area metric does not determine a connection, we identify the
appropriate differential geometric structure which is of relevance for the
minimal surface equation in such a generalized geometry. In particular the
notion of a derivative action of areas on areas emerges naturally. Area metric
geometry provides new tools in differential geometry, which promise to play a
role in the description of gravitational dynamics on D-branes.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 23:04:13 GMT""},{""version"":""v2"",""created"":""Thu, 23 Feb 2006 09:13:05 GMT""}]","2008-11-26"
"hep-th/0511159","DaeKil Park","D. K. Park","Asymptotic Quasinormal Frequencies of Brane-Localized Black Hole","15 pages, 1 eps figure: V2 one more reference added. The derivtaion
  of the effective potential is explained in detail. Version of PLB","Phys.Lett.B633:613-617,2006","10.1016/j.physletb.2005.12.048",,"hep-th",,"  The asymptotic quasinormal frequencies of the brane-localized
$(4+n)$-dimensional black hole are computed. Since the induced metric on the
brane is not an exact vacuum solution of the Einstein equation defined on the
brane, the real parts of the quasinormal frequencies $ \omega$ do not approach
to the well-known value $T_H \ln 3$ but approach to $T_H \ln k_n$, where $k_n$
is a number dependent on the extra dimensions. For the scalar perturbation
$Re(\omega / T_H) = \ln 3$ is reproduced when $n = 0$. For $n \neq 0$, however,
$Re(\omega / T_H)$ is smaller than $\ln 3$. It is shown also that when $n > 4$,
$Im(\omega / T_H)$ vanishes in the scalar perturbation. For the gravitational
perturbation it is shown that $Re(\omega / T_H) = \ln 3$ is reproduced when $n
= 0$ and $n = 4$. For different $n$, however, $Re(\omega / T_H)$ is smaller
than $\ln 3$. When $n = \infty$, for example, $Re(\omega / T_H)$ approaches to
$\ln (1 + 2 \cos \sqrt{5} \pi) \approx 0.906$. Unlike the scalar perturbation
$Im(\omega / T_H)$ does not vanish regradless of the number of extra
dimensions.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 02:30:29 GMT""},{""version"":""v2"",""created"":""Thu, 22 Dec 2005 23:07:20 GMT""}]","2008-11-26"
"hep-th/0511160","Tetsutaro Higaki","Hiroyuki Abe, Tetsutaro Higaki, Tatsuo Kobayashi","KKLT type models with moduli-mixing superpotential","31 pages, 2 eps figures","Phys.Rev.D73:046005,2006","10.1103/PhysRevD.73.046005","KUNS-1994","hep-th hep-ph",,"  We study KKLT type models with moduli-mixing superpotential. In several
string models, gauge kinetic functions are written as linear combinations of
two or more moduli fields. Their gluino condensation generates moduli-mixing
superpotential. We assume one of moduli fields is frozen already around the
string scale. It is found that K\""ahler modulus can be stabilized at a
realistic value without tuning 3-form fluxes because of gluino condensation on
(non-)magnetized D-brane. Furthermore, we do not need to highly tune parameters
in order to realize a weak gauge coupling and a large hierarchy between the
gravitino mass and the Planck scale, when there exists non-perturbative effects
on D3-brane. SUSY breaking patterns in our models have a rich structure. Also,
some of our models have cosmologically important implications, e.g., on the
overshooting problem and the destabilization problem due to finite temperature
effects as well as the gravitino problem and the moduli problem.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 06:42:08 GMT""},{""version"":""v2"",""created"":""Thu, 9 Feb 2006 06:06:32 GMT""}]","2010-12-03"
"hep-th/0511161","F. A. Chishtie","F. T. Brandt, F. A. Chishtie, D.G.C. McKeon","The Effective Potential in the Massive $\phi_4^4$ Model","To be published in International Journal of Modern Physics A","Int.J.Mod.Phys.A22:1-10,2007","10.1142/S0217751X0703501X",,"hep-th",,"  By applying the renormalization group equation, it has been shown that the
effective potential $V$ in the massless $\phi_4^4$ model and in massless scalar
quantum electrodynamics is independent of the scalar field. This analysis is
extended here to the massive $\phi_4^4$ model, showing that the effective
potential is independent of $\phi$ here as well.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 04:55:48 GMT""},{""version"":""v2"",""created"":""Sun, 19 Nov 2006 15:59:11 GMT""}]","2011-07-19"
"hep-th/0511162","Mihail Mintchev","Mihail Mintchev and Paul Sorba","Bosonization and Vertex Algebras with Defects","23 pages, 1 figure","Annales Henri Poincare 7 (2006) 1375-1393","10.1007/s00023-006-0284-6","IFUP-TH 20/2005, LAPTH-1120/05","hep-th cond-mat.stat-mech math-ph math.MP math.QA",,"  The method of bosonization is extended to the case when a dissipationless
point-like defect is present in space-time. Introducing the chiral components
of a massless scalar field, interacting with the defect in two dimensions, we
construct the associated vertex operators. The main features of the
corresponding vertex algebra are established. As an application of this
framework we solve the massless Thirring model with defect. We also construct
the vertex representation of the sl(2) Kac-Moody algebra, describing the
complex interplay between the left and right sectors due to the interaction
with the defect. The Sugawara form of the energy-momentum tensor is also
explored.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 08:14:48 GMT""}]","2009-11-11"
"hep-th/0511163","Panagiota Kanti","M. Casals, P. Kanti and E. Winstanley","Brane Decay of a (4+n)-Dimensional Rotating Black Hole. II: spin-1
  particles","35 pages, 19 figures, Latex file","JHEP 0602:051,2006","10.1088/1126-6708/2006/02/051","DCPT-05/55","hep-th astro-ph gr-qc hep-ph",,"  The present works complements and expands a previous one, focused on the
emission of scalar fields by a (4+n)-dimensional rotating black hole on the
brane, by studying the emission of gauge fields on the brane from a similar
black hole. A comprehensive analysis of the particle, energy and angular
momentum emission rates is undertaken, for arbitrary angular momentum of the
black hole and dimensionality of spacetime. Our analysis reveals the existence
of a number of distinct features associated with the emission of spin-1 fields
from a rotating black hole on the brane, such as the behaviour and magnitude of
the different emission rates, the angular distribution of particles and energy,
the relative enhancement compared to the scalar fields, and the magnitude of
the superradiance effect. Apart from their theoretical interest, these features
can comprise clear signatures of the emission of Hawking radiation from a
brane-world black hole during its spin-down phase upon successful detection of
this effect during an experiment.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 10:31:03 GMT""}]","2010-12-23"
"math-ph/0511051","Siu Chin","Siu A. Chin","A Fundamental Theorem on the Structure of Symplectic Integrators","4 pages, no figures","Phys.Lett. A354 (2006) 373-376","10.1016/j.physleta.2006.02.004",,"math-ph astro-ph math.MP physics.comp-ph",,"  I show that the basic structure of symplectic integrators is governed by a
theorem which states {\it precisely}, how symplectic integrators with positive
coefficients cannot be corrected beyond second order. All previous known
results can now be derived quantitatively from this theorem. The theorem
provided sharp bounds on second-order error coefficients explicitly in terms of
factorization coefficients. By saturating these bounds, one can derive
fourth-order algorithms analytically with arbitrary numbers of operators.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 19:07:36 GMT""}]","2009-11-11"
"math-ph/0511052","Peter Turner","P. S. Turner, D. J. Rowe and J. Repka","Vector coherent state theory of the generic representations of so(5) in
  an so(3) basis","20 pages, uses multirow.sty, submitted to J. Math. Phys","J.Math.Phys. 47 (2006) 023507","10.1063/1.2162332",,"math-ph math.MP nucl-th",,"  For applications of group theory in quantum mechanics, one generally needs
explicit matrix representations of the spectrum generating algebras that arise
in bases that reduce the symmetry group of some Hamiltonian of interest. Here
we use vector coherent state techniques to develop an algorithm for
constructing the matrices for arbitrary finite-dimensional irreps of the SO(5)
Lie algebra in an SO(3) basis. The SO(3) subgroup of SO(5) is defined by
regarding SO(5) as linear transformations of the five-dimensional space of an
SO(3) irrep of angular momentum two. A need for such irreps arises in the
nuclear collective model of quadrupole vibrations and rotations. The algorithm
has been implemented in MAPLE, and some tables of results are presented.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 20:09:11 GMT""}]","2009-11-11"
"math-ph/0511053","Antonio Ricco","U. Bruzzo and A. Ricco","Normal bundles to Laufer rational curves in local Calabi-Yau threefolds",,"Lett.Math.Phys. 76 (2006) 57-63","10.1007/s11005-006-0057-7",,"math-ph hep-th math.AG math.MP",,"  We prove a conjecture by F. Ferrari. Let X be the total space of a nonlinear
deformation of a rank 2 holomorphic vector bundle on a smooth rational curve,
such that X has trivial canonical bundle and has sections. Then the normal
bundle to such sections is computed in terms of the rank of the Hessian of a
suitably defined superpotential at its critical points.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 15:29:29 GMT""}]","2009-11-11"
"math/0511389","Jon A. Wellner","Norman E. Breslow (University of Washington), Jon A. Wellner
  (University of Washington)","Weighted Likelihood for Semiparametric Models and Two-phase Stratified
  Samples, with Application to Cox Regression","21 pages. Submitted to Scandinavian Journal of Statistics. See also
  http://www.stat.washington.edu/jaw/RESEARCH/PAPERS/available.html",,,,"math.ST stat.TH",,"  Weighted likelihood, in which one solves Horvitz-Thompson or inverse
probability weighted (IPW) versions of the likelihood equations, offers a
simple and robust method for fitting models to two phase stratified samples. We
consider semiparametric models for which solution of infinite dimensional
estimating equations leads to $\sqrt{N}$ consistent and asymptotically Gaussian
estimators of both Euclidean and nonparametric parameters. If the phase two
sample is selected via Bernoulli (i.i.d.) sampling with known sampling
probabilities, standard estimating equation theory shows that the influence
function for the weighted likelihood estimator of the Euclidean parameter is
the IPW version of the ordinary influence function. By proving weak convergence
of the IPW empirical process, and borrowing results on weighted bootstrap
empirical processes, we derive a parallel asymptotic expansion for finite
population stratified sampling. Whereas the asymptotic variance for Bernoulli
sampling involves the within strata second moments of the influence function,
for finite population stratified sampling it involves only the within strata
variances. The latter asymptotic variance also arises when the observed
sampling fractions are used as estimates of those known a priori. A general
procedure is proposed for fitting semiparametric models with estimated weights
to two phase data. Several of our key results have already been derived for the
special case of Cox regression with stratified case-cohort studies, other
complex survey designs and missing data problems more generally. This paper is
intended to help place this previous work in appropriate context and to pave
the way for applications to other models.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 16:49:07 GMT""}]","2007-06-13"
"math/0511390","Jason Fulman","John R. Britnell and Jason Fulman","Power series coefficients for probabilities in finite classical groups","34 pages",,,,"math.GR math.CO",,"  It is shown that a wide range of probabilities and limiting probabilities in
finite classical groups have integral coefficients when expanded as a power
series in 1/q. Moreover it is proved that the coefficients of the limiting
probabilities in the general linear and unitary cases are equal modulo 2. The
rate of stabilization of the finite dimensional coefficients as the dimension
increases is discussed.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 17:22:00 GMT""}]","2007-05-23"
"math/0511391","Margarida Mendes Lopes","Alberto Calabri, Margarida Mendes Lopes, Rita Pardini","Involutions on numerical Campedelli surfaces","22 pages",,,,"math.AG",,"  Numerical Campedelli surfaces are minimal surfaces of general type with p_g=0
(and so q=0) and K^2=2. Although they have been studied by several authors,
their complete classification is not known. In this paper we classify numerical
Campedelli surfaces with an involution, i.e. an automorphism of order 2. First
we show that an involution on a numerical Campedelli surface S has either four
or six isolated fixed points, and the bicanonical map of S is composed with the
involution if and only if the involution has six isolated fixed points. Then we
study in detail each of the possible cases, describing also several examples.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 17:22:08 GMT""}]","2007-05-23"
"math/0511392","Wilhelm Schlag","Michael Goldstein, Wilhelm Schlag","On resonances and the formation of gaps in the spectrum of
  quasi-periodic Schroedinger equations","99 pages, 3 figures; this paper is an extensive revision of our paper
  from 2005. We have added several more results, as well as details, and have
  improved the presentation",,,,"math.DS math-ph math.MP",,"  We consider one-dimensional difference Schroedinger equations on the discrete
line with a potential generated by evaluating a real-analytic potential
function V(x) on the one-dimensional torus along an orbit of the shift
x-->x+nw. If the Lyapunov exponent is positive for all energies and w, then the
integrated density of states is absolutely continuous for almost every w. In
this work we establish the formation of a dense set of gaps in the spectrum.
Our approach is based on an induction on scales argument, and is therefore both
constructive as well as quantitative. Resonances between eigenfunctions of one
scale lead to ""pre-gaps"" at a larger scale. To pass to actual gaps in the
spectrum, we show that these pre-gaps cannot be filled more than a finite (and
uniformly bounded) number of times. To accomplish this, we relate a pre-gap to
pairs of complex zeros of the Dirichlet determinants off the unit circle using
the techniques of an earlier paper by the authors. Amongst other things, we
establish in this work a non-perturbative version of the co-variant
parametrization of the eigenvalues and eigenfunctions via the phases in the
spirit of Sinai's (perturbative) description of the spectrum via his function
as well as an multi-scale/finite volume approach to Anderson localization in
this context. This allows us to relate the gaps in the spectrum with the graphs
of the eigenvalues parametrized by the phase. Our infinite volume theorems hold
for all Diophantine frequencies w up to a set of Hausdorff dimension zero. This
is in contrast to earlier technology which only yielded exceptional sets of
measure zero. Our only assumption on the potential apart from analyticity is
the positivity of the Lyapunov exponent.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 19:21:12 GMT""},{""version"":""v2"",""created"":""Sun, 26 Mar 2006 04:01:15 GMT""},{""version"":""v3"",""created"":""Wed, 9 Apr 2008 19:26:33 GMT""}]","2008-04-09"
